Test #,Epsilon,Sparsity,Noise,Time to Compress,Compression Ratio
31,0.05035635,0.2,0.1,1381,0.728070175
32,0.040836573,0.2,0.2,581,0.854460094
17,0.060082584,1,0.02,196326,0.0625
18,0.052889756,1,0.08,234615,0.37890625
19,0.050269557,1,0.1,232493,0.4453125
20,0.038055459,1,0.2,166073,0.66015625
21,0.060055504,0.7,0.02,58975,0.362116992
22,0.052680095,0.7,0.08,62383,0.473239437
23,0.05008724,0.7,0.1,64845,0.524407252
24,0.038869973,0.7,0.2,43268,0.720229555
25,0.060109903,0.5,0.02,15915,0.495867769
26,0.052863201,0.5,0.08,18860,0.528599606
27,0.050587389,0.5,0.1,18820,0.587771203
28,0.040133078,0.5,0.2,12771,0.76984127
29,0.060275488,0.2,0.02,983,0.660287081
30,0.05308787,0.2,0.08,909,0.673267327
31,0.053744365,0.2,0.1,836,0.721649485
32,0.04278607,0.2,0.2,974,0.82300885
17,0.060098815,1,0.02,197004,0.0625
18,0.052933185,1,0.08,236691,0.361328125
19,0.050380917,1,0.1,234499,0.447265625
20,0.03821464,1,0.2,166885,0.66796875
21,0.06003892,0.7,0.02,56670,0.363636364
22,0.052820952,0.7,0.08,63324,0.450070323
23,0.050299367,0.7,0.1,71038,0.520325203
24,0.038689441,0.7,0.2,46906,0.711724138
25,0.060076606,0.5,0.02,19105,0.471734893
26,0.05317475,0.5,0.08,17972,0.527162978
27,0.050373849,0.5,0.1,20353,0.59344894
28,0.039044101,0.5,0.2,12642,0.768292683
29,0.060498999,0.2,0.02,971,0.669856459
30,0.054404188,0.2,0.08,801,0.736318408
31,0.050924038,0.2,0.1,1408,0.728070175
32,0.039611126,0.2,0.2,585,0.846511628
17,0.060098996,1,0.02,199596,0.0625
18,0.053095603,1,0.08,234591,0.361328125
19,0.050327868,1,0.1,232520,0.458984375
20,0.038510925,1,0.2,165583,0.66796875
21,0.060158911,0.7,0.02,58924,0.361111111
22,0.053031384,0.7,0.08,63431,0.457697642
23,0.050419729,0.7,0.1,58771,0.530846485
24,0.03798621,0.7,0.2,42797,0.717730496
25,0.060197773,0.5,0.02,20276,0.467043315
26,0.053055532,0.5,0.08,22626,0.522222222
27,0.050993816,0.5,0.1,18248,0.613226453
28,0.039225062,0.5,0.2,11665,0.765432099
29,0.060768709,0.2,0.02,725,0.670157068
30,0.053457243,0.2,0.08,778,0.730964467
31,0.053185648,0.2,0.1,1025,0.710280374
32,0.039665905,0.2,0.2,443,0.858585859
17,0.060078895,1,0.02,200497,0.0625
18,0.053132408,1,0.08,232927,0.361328125
19,0.050339988,1,0.1,234559,0.453125
20,0.038362272,1,0.2,167647,0.67578125
21,0.060198162,0.7,0.02,60362,0.362880886
22,0.052764812,0.7,0.08,67682,0.454545455
23,0.050324507,0.7,0.1,69081,0.512328767
24,0.038042629,0.7,0.2,41685,0.724928367
25,0.060043347,0.5,0.02,18012,0.485207101
26,0.053069398,0.5,0.08,19526,0.530214425
27,0.051258208,0.5,0.1,20934,0.583969466
28,0.038862885,0.5,0.2,13103,0.75390625
29,0.06022826,0.2,0.02,744,0.663366337
30,0.054686466,0.2,0.08,677,0.739583333
31,0.054551916,0.2,0.1,1046,0.728971963
32,0.042457383,0.2,0.2,708,0.859813084
17,0.060045936,1,0.02,197459,0.0625
18,0.052903341,1,0.08,237691,0.365234375
19,0.050286388,1,0.1,231543,0.45703125
20,0.038636459,1,0.2,169847,0.658203125
21,0.060170347,0.7,0.02,60438,0.371900826
22,0.052614482,0.7,0.08,64034,0.457865169
23,0.050418142,0.7,0.1,66239,0.52149792
24,0.038214723,0.7,0.2,48948,0.706359946
25,0.060141378,0.5,0.02,18363,0.467583497
26,0.053072245,0.5,0.08,23887,0.510091743
27,0.05018351,0.5,0.1,17934,0.598778004
28,0.038621892,0.5,0.2,15235,0.738970588
29,0.060626843,0.2,0.02,931,0.685990338
30,0.052741428,0.2,0.08,942,0.710280374
31,0.052038731,0.2,0.1,768,0.753926702
32,0.040205252,0.2,0.2,580,0.851674641
17,0.060058876,1,0.02,201835,0.0625
18,0.052650854,1,0.08,246122,0.35546875
19,0.050272909,1,0.1,240594,0.44921875
20,0.038219765,1,0.2,168516,0.65625
21,0.060182952,0.7,0.02,53801,0.377358491
22,0.052876132,0.7,0.08,66584,0.472222222
23,0.050819825,0.7,0.1,63706,0.527659574
24,0.037993261,0.7,0.2,43268,0.721030043
25,0.060165064,0.5,0.02,18423,0.475442043
26,0.05297843,0.5,0.08,20380,0.525291829
27,0.050497604,0.5,0.1,19664,0.588235294
28,0.037887977,0.5,0.2,14218,0.759013283
29,0.060328603,0.2,0.02,1101,0.68202765
30,0.053604707,0.2,0.08,812,0.71
31,0.051298466,0.2,0.1,974,0.74
32,0.041619252,0.2,0.2,661,0.838095238
17,0.060017893,1,0.02,204225,0.0625
18,0.052733379,1,0.08,239644,0.353515625
19,0.05002909,1,0.1,236348,0.458984375
20,0.037728979,1,0.2,165580,0.66796875
21,0.060004181,0.7,0.02,55743,0.365439093
22,0.053205702,0.7,0.08,62489,0.444444444
23,0.050606059,0.7,0.1,61172,0.54519774
24,0.039124048,0.7,0.2,41289,0.714905933
25,0.060114385,0.5,0.02,18372,0.457692308
26,0.053241557,0.5,0.08,19704,0.513513514
27,0.050986973,0.5,0.1,19211,0.598825832
28,0.039040695,0.5,0.2,14060,0.741444867
29,0.060200155,0.2,0.02,1288,0.657777778
30,0.055182854,0.2,0.08,710,0.735751295
31,0.054967392,0.2,0.1,747,0.748663102
32,0.040302151,0.2,0.2,670,0.841628959
17,0.0600714,1,0.02,193779,0.0625
18,0.052963438,1,0.08,227867,0.365234375
19,0.050537762,1,0.1,227463,0.451171875
20,0.037781169,1,0.2,162014,0.65625
21,0.060048062,0.7,0.02,55500,0.362093352
22,0.052839444,0.7,0.08,58425,0.475644699
23,0.050924809,0.7,0.1,64064,0.509749304
24,0.038242053,0.7,0.2,43327,0.707386364
25,0.060123367,0.5,0.02,15238,0.50617284
26,0.052908399,0.5,0.08,18881,0.536203523
27,0.05023046,0.5,0.1,19370,0.586614173
28,0.039073681,0.5,0.2,13774,0.749034749
29,0.060469507,0.2,0.02,747,0.67357513
30,0.054219468,0.2,0.08,806,0.726368159
31,0.051490921,0.2,0.1,1049,0.731481481
32,0.038433453,0.2,0.2,476,0.87628866
,,,,,
,,,AVG:,69924.49167,0.55875673
